date,type,category,description,amount
2024-12-24,expense,Education,Udemy course,384.11
2024-12-24,expense,Education,Textbook,151.66
2024-12-24,expense,Entertainment,Netflix subscription,61.76
2024-12-25,expense,Entertainment,Video game,43.89
2024-12-26,expense,Entertainment,Concert ticket,108.98
2024-12-26,expense,Transport,Uber ride,65.41
2024-12-27,expense,Transport,Uber ride,70.29
2024-12-27,expense,Transport,Metro ticket,14.72
2024-12-28,expense,Health,Vitamins,57.15
2024-12-29,expense,Food,Takeaway order,196.02
2024-12-29,expense,Transport,Bus fare,68.76
2024-12-30,expense,Shopping,Books,342.74
2024-12-30,expense,Education,Udemy course,162.41
2024-12-30,expense,Health,Pharmacy,275.14
